Date,Price,Open,High,Low,Vol.,Change %
3/1/2020,23.83,24.42,24.51,23.71,5.87K,-0.79%
2/23/2020,24.02,25.51,25.51,23.61,1.53K,-7.72%
2/16/2020,26.03,24.64,26.11,24.64,1.22K,5.34%
2/9/2020,24.71,23.71,25.02,23.39,0.61K,4.04%
2/2/2020,23.75,24.15,24.26,23.35,3.03K,-2.30%
1/26/2020,24.31,24.7,25.05,23.9,6.98K,-2.25%
1/19/2020,24.87,25.81,26.1,24.8,3.84K,-4.24%
1/12/2020,25.97,24.55,25.81,24.2,1.55K,5.01%
1/5/2020,24.73,24.95,25.2,24.57,0.74K,-3.02%
12/29/2019,25.5,26.77,26.77,25.34,0.15K,-6.42%
12/22/2019,27.25,27.55,27.59,27.55,0.03K,0.15%
12/15/2019,27.21,24.74,27.4,24.74,0.43K,10.12%
12/8/2019,24.71,25.33,26.23,25,0.80K,-3.78%
12/1/2019,25.68,25.7,25.7,24.58,0.81K,-1.00%
11/24/2019,25.94,25.02,25.88,24.93,0.79K,2.49%
11/17/2019,25.31,24.18,24.84,24.08,0.16K,3.01%
11/10/2019,24.57,25.85,25.89,24.17,1.72K,-3.87%
11/3/2019,25.56,25.81,26.67,25.35,0.55K,-1.77%
10/27/2019,26.02,25.66,26.74,25.56,1.03K,0.85%
10/20/2019,25.8,26.6,26.6,25.55,1.65K,-3.73%
10/13/2019,26.8,24.82,26.98,24.82,2.67K,5.68%
10/6/2019,25.36,23.83,24.84,23.1,1.83K,6.06%
9/29/2019,23.91,26.14,26.17,24.1,3.85K,-9.23%
9/22/2019,26.34,27.01,27.01,26.17,0.55K,-4.53%
9/15/2019,27.59,27.92,28.1,26.31,1.34K,0.77%
9/8/2019,27.38,26.16,28.34,25.95,2.26K,5.11%
9/1/2019,26.05,26.94,26.94,25.9,2.87K,-4.82%
8/25/2019,27.37,26.71,27.6,26.71,0.41K,4.31%
8/18/2019,26.24,27.91,27.91,25.92,0.07K,-3.35%
8/11/2019,27.15,29.34,29.34,27.3,1.53K,-7.53%
8/4/2019,29.36,30.05,30.15,29.42,1.71K,-4.08%
7/28/2019,30.61,29.5,30.73,29.44,0.61K,2.89%
7/21/2019,29.75,30.6,31.22,30.15,1.32K,-2.07%
7/14/2019,30.38,30.66,31.02,29.47,1.24K,0.40%
7/7/2019,30.26,28.22,29.94,27.97,2.27K,9.36%
6/30/2019,27.67,28.1,28.44,27.1,2.31K,0.62%
6/23/2019,27.5,26.71,28.65,26.71,1.88K,4.09%
6/16/2019,26.42,26.15,26.42,25.99,2.36K,1.03%
6/9/2019,26.15,25.87,26.09,25.86,0.16K,1.91%
6/2/2019,25.66,25.1,25.7,24.98,3.62K,0.83%
5/26/2019,25.45,26.02,26.94,25.68,0.33K,-3.74%
5/19/2019,26.44,26.18,27.08,26.18,0.62K,1.85%
5/12/2019,25.96,26.6,26.6,26.53,0.57K,-2.48%
5/5/2019,26.62,26.8,27.65,26.8,0.61K,1.26%
4/28/2019,26.29,27.11,27.53,25.69,2.01K,-2.95%
