date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2022-06-26,85.58,2.577010667625545,6.43,7.93,28.855000019073486,420.26,-0.1330735231215296,134,0,2,5.9304815614290165,-1.4849775526649123,6.854788363091524,10.292580030431091,0.0
2022-07-03,82.79,-3.2601075017527403,6.35,6.43,27.77600021362305,419.69,-0.1356303240850898,127,0,2,6.038644278955362,1.1360860004886453,3.526322370889101,10.540625491040174,0.0
2022-07-10,85.38,3.128397149414175,5.9,6.35,26.24749994277954,419.03,-0.1572589292096582,120,0,2,5.0950958525025065,3.6542430496539824,-4.056635577031131,7.441526869051236,0.0
2022-07-17,76.3,-10.634809088779573,6.76,5.9,26.181999969482423,418.38,-0.1551201584611972,113,0,2,5.780816916171737,-8.546086539614063,-9.650680876258145,13.927190666035887,0.0
2022-07-24,78.55,2.948885976408921,7.76,6.76,23.963999938964843,417.8,-0.1386299536306645,106,0,2,5.186235236375791,-8.21453610656696,-14.190517806423431,11.141695887188082,0.0
2022-07-31,84.76,7.905792488860608,8.74,7.76,22.99000015258789,418.15,0.0837721397797919,99,0,2,5.738904767890089,2.379514434110397,-4.204339963833636,10.587792616287274,0.0
2022-08-07,88.87,4.84898537045777,8.14,8.74,22.2620002746582,417.29,-0.2056678225517028,92,0,2,5.148149587968726,4.087608339189508,10.548575693494211,10.477453773324326,0.0
2022-08-14,98.01,10.284685495667834,8.15,8.14,20.506000518798828,417.22,-0.0167749047425003,85,0,2,5.733455643121507,28.45347313237223,16.401425178147267,10.304522407946653,0.0
2022-08-21,90.31,-7.85634118967452,9.19,8.15,19.94000015258789,416.52,-0.1677771918891846,78,0,2,6.285494076634861,14.971355824315724,3.959940140439744,9.704566421204628,0.0
2022-08-28,77.89,-13.752629830583553,9.56,9.19,23.613999938964845,416.5,-0.0048016901949443,71,0,2,7.343769340705407,-8.105238319962249,-4.849743464451506,8.184641872657355,0.0
2022-09-04,66.08,-15.16240852484273,9.17,9.56,25.86399955749512,416.29,-0.0504201680672222,64,0,2,8.511952030945743,-25.64419939237088,-19.77661770061916,7.177507837375388,0.0
